link,lotto_name,country,country_code,next_draw_date,estimated_jackpot,drawn_date,winning_numbers,bonus_numbers
https://www.magayo.com/lotto/australia/monday-wednesday-lotto-results/,Monday & Wednesday Lotto,Australia,AU,10 May 2023 (Wednesday),"$1,000,000)",8 May 2023 (Monday),"08,14,16,24,30,36","18,35"
https://www.magayo.com/lotto/australia/oz-lotto-results/,Oz Lotto,Australia,AU,9 May 2023 (Tuesday),"$20,000,000 (~US$13,522,193)",2 May 2023 (Tuesday),"01,07,20,26,28,29,45","04,11,16"
https://www.magayo.com/lotto/australia/powerball-results/,Powerball,Australia,AU,11 May 2023 (Thursday),"$4,000,000 (~US$2,704,439)",4 May 2023 (Thursday),"02,13,18,20,31,34,35",9
https://www.magayo.com/lotto/australia/saturday-lotto-results/,Saturday Lotto,Australia,AU,13 May 2023 (Saturday),"$20,000,000 (~US$13,522,193)",6 May 2023 (Saturday),"02,08,13,17,30,35","05,34"
https://www.magayo.com/lotto/australia/set-for-life-results/,Set For Life,Australia,AU,9 May 2023 (Tuesday),"$20,000 a month for 20 years)",8 May 2023 (Monday),"10,17,21,26,33,37,43","04,22"
https://www.magayo.com/lotto/austria/euromillions-results/,EuroMillions,Austria,AT,9 May 2023 (Tuesday),"€17,000,000 (~US$19,057,441)",5 May 2023 (Friday),"03,08,18,34,49","03,07"
https://www.magayo.com/lotto/austria/lotto-results/,Lotto,Austria,AT,10 May 2023 (Wednesday),"€2,200,000 (~US$2,466,257)",7 May 2023 (Sunday),"13,14,16,32,35,36",15
https://www.magayo.com/lotto/belarus/sportloto-536-results/,Sportloto 5/36,Belarus,BY,10 May 2023 (Wednesday),"117,447 руб (~US$46,530)",7 May 2023 (Sunday),"09,18,22,28,36",21
https://www.magayo.com/lotto/belarus/sportloto-649-results/,Sportloto 6/49,Belarus,BY,9 May 2023 (Tuesday),"3,955,582 руб (~US$1,567,130)",8 May 2023 (Monday),"05,19,21,27,47,49",
https://www.magayo.com/lotto/belgium/euromillions-results/,EuroMillions,Belgium,BE,9 May 2023 (Tuesday),"€17,000,000 (~US$19,057,441)",5 May 2023 (Friday),"03,08,18,34,49","03,07"
https://www.magayo.com/lotto/brazil/mega-sena-results/,Mega-Sena,Brazil,BR,9 May 2023 (Tuesday),"R$40,000,000 (~US$8,075,744)",6 May 2023 (Saturday),"01,15,16,25,32,36",
https://www.magayo.com/lotto/brazil/quina-results/,Quina,Brazil,BR,8 May 2023 (Monday),"R$2,000,000 (~US$403,787)",8 May 2023 (Monday),"10,39,63,67,70",
https://www.magayo.com/lotto/canada/lotto-649-results/,Lotto 6/49,Canada,CA,10 May 2023 (Wednesday),"$22,000,000 (~US$16,325,925)",6 May 2023 (Saturday),"03,19,23,30,37,42",1
https://www.magayo.com/lotto/canada/lotto-max-results/,Lotto Max,Canada,CA,9 May 2023 (Tuesday),"$28,000,000 (~US$20,778,450)",5 May 2023 (Friday),"08,16,22,24,25,30,32",11
https://www.magayo.com/lotto/germany/eurojackpot-results/,EuroJackpot,Germany,DE,9 May 2023 (Tuesday),"€13,000,000 (~US$14,573,338)",5 May 2023 (Friday),"17,18,30,33,35","06,08"
https://www.magayo.com/lotto/germany/lotto-6-aus-49-results/,Lotto 6 aus 49,Germany,DE,10 May 2023 (Wednesday),"€12,000,000 (~US$13,452,312)",6 May 2023 (Saturday),"07,09,18,19,31,47",9
https://www.magayo.com/lotto/ireland/daily-million-2pm-results/,Daily Million 2pm,Ireland,IE,9 May 2023 (Tuesday),"€1,000,000)",8 May 2023 (Monday),"05,13,23,26,28,36",22
https://www.magayo.com/lotto/ireland/euromillions-results/,EuroMillions,Ireland,IE,9 May 2023 (Tuesday),"€17,000,000 (~US$19,057,441)",5 May 2023 (Friday),"03,08,18,34,49","03,07"
https://www.magayo.com/lotto/ireland/lotto-results/,Lotto,Ireland,IE,10 May 2023 (Wednesday),"€7,500,000 (~US$8,407,695)",6 May 2023 (Saturday),"08,11,12,21,26,37",9
https://www.magayo.com/lotto/italy/superenalotto-results/,SuperEnalotto,Italy,IT,9 May 2023 (Tuesday),"€27,700,000 (~US$31,052,419)",6 May 2023 (Saturday),"10,25,40,46,47,74",7
https://www.magayo.com/lotto/mexico/melate-results/,Melate,Mexico,MX,10 May 2023 (Wednesday),"$51,900,000 (~US$2,921,885)",7 May 2023 (Sunday),"03,15,27,50,54,56",10
https://www.magayo.com/lotto/mexico/melate-retro-results/,Melate Retro,Mexico,MX,9 May 2023 (Tuesday),"$14,300,000 (~US$805,067)",6 May 2023 (Saturday),"06,12,15,27,28,31",33
https://www.magayo.com/lotto/norway/vikinglotto-results/,Vikinglotto,Norway,NO,10 May 2023 (Wednesday),"184,000,000 kr (~US$17,408,410)",3 May 2023 (Wednesday),"06,22,38,39,43,45",2
https://www.magayo.com/lotto/poland/lotto-results/,Lotto,Poland,PL,9 May 2023 (Tuesday),"5,000,000 zł (~US$1,203,928)",6 May 2023 (Saturday),"01,16,27,31,38,42",
https://www.magayo.com/lotto/poland/mini-lotto-results/,Mini Lotto,Poland,PL,9 May 2023 (Tuesday),"400,000 zł)",8 May 2023 (Monday),"12,18,23,26,33",
https://www.magayo.com/lotto/south-africa/daily-lotto-results/,Daily Lotto,South Africa,ZA,9 May 2023 (Tuesday),"R 300,000)",8 May 2023 (Monday),"06,09,13,16,36",
https://www.magayo.com/lotto/south-africa/lotto-results/,Lotto,South Africa,ZA,10 May 2023 (Wednesday),"R 55,000,000 (~US$3,018,420)",6 May 2023 (Saturday),"19,22,30,39,45,46",24
https://www.magayo.com/lotto/south-africa/powerball-results/,Powerball,South Africa,ZA,9 May 2023 (Tuesday),"R 28,000,000 (~US$1,536,650)",5 May 2023 (Friday),"02,20,24,29,43",20
https://www.magayo.com/lotto/spain/bonoloto-results/,BonoLoto,Spain,ES,9 May 2023 (Tuesday),"€1,200,000 (~US$1,345,231)",8 May 2023 (Monday),"02,03,06,07,08,25",41
https://www.magayo.com/lotto/spain/el-gordo-results/,El Gordo,Spain,ES,14 May 2023 (Sunday),"€7,100,000 (~US$7,959,284)",7 May 2023 (Sunday),"16,19,22,40,53",4
https://www.magayo.com/lotto/spain/euromillions-results/,EuroMillions,Spain,ES,9 May 2023 (Tuesday),"€17,000,000 (~US$19,057,441)",5 May 2023 (Friday),"03,08,18,34,49","03,07"
https://www.magayo.com/lotto/spain/la-primitiva-results/,La Primitiva,Spain,ES,11 May 2023 (Thursday),"€4,800,000 (~US$5,380,925)",8 May 2023 (Monday),"03,13,17,24,28,45",25
https://www.magayo.com/lotto/uk/euromillions-results/,EuroMillions,United Kingdom,UK,9 May 2023 (Tuesday),"£14,000,000 (~US$17,694,596)",5 May 2023 (Friday),"03,08,18,34,49","03,07"
https://www.magayo.com/lotto/uk/lotto-results/,Lotto,United Kingdom,UK,10 May 2023 (Wednesday),"£2,000,000 (~US$2,527,799)",6 May 2023 (Saturday),"03,23,33,36,54,55",7
https://www.magayo.com/lotto/uk/set-for-life-results/,Set For Life,United Kingdom,UK,11 May 2023 (Thursday),"£10,000 a month for 30 years)",8 May 2023 (Monday),"07,12,13,21,26",4
https://www.magayo.com/lotto/uk/thunderball-results/,Thunderball,United Kingdom,UK,9 May 2023 (Tuesday),"£500,000)",6 May 2023 (Saturday),"05,06,25,28,34",5
https://www.magayo.com/lotto/california/fantasy-5-results/,California Fantasy 5,United States,US,9 May 2023 (Tuesday),"$319,000)",8 May 2023 (Monday),"10,11,21,29,32",
https://www.magayo.com/lotto/california/superlotto-plus-results/,California SuperLotto Plus,United States,US,10 May 2023 (Wednesday),"$57,000,000)",6 May 2023 (Saturday),"07,17,21,29,42",22
https://www.magayo.com/lotto/usa/cash4life-results/,Cash4Life,United States,US,9 May 2023 (Tuesday),"$1,000 a day for life)",8 May 2023 (Monday),"04,18,31,34,50",3
https://www.magayo.com/lotto/florida/florida-lotto-results/,Florida Lotto,United States,US,10 May 2023 (Wednesday),"$33,500,000)",6 May 2023 (Saturday),"05,09,13,29,38,41",
https://www.magayo.com/lotto/usa/lotto-america-results/,Lotto America,United States,US,10 May 2023 (Wednesday),"$2,800,000)",8 May 2023 (Monday),"07,18,24,29,44",6
https://www.magayo.com/lotto/usa/mega-millions-results/,Mega Millions,United States,US,9 May 2023 (Tuesday),"$83,000,000)",5 May 2023 (Friday),"16,18,28,42,43",11
https://www.magayo.com/lotto/new-jersey/pick-6-lotto-results/,New Jeysey Pick 6,United States,US,11 May 2023 (Thursday),"$8,000,000)",8 May 2023 (Monday),"02,07,23,26,36,38",
https://www.magayo.com/lotto/new-york/lotto-results/,New York Lotto,United States,US,10 May 2023 (Wednesday),"$3,100,000)",6 May 2023 (Saturday),"07,16,36,44,46,53",24
https://www.magayo.com/lotto/usa/powerball-results/,Powerball,United States,US,8 May 2023 (Monday),"$97,000,000)",8 May 2023 (Monday),"15,20,33,36,43",12
https://www.magayo.com/lotto/texas/lotto-texas-results/,Texas Lotto,United States,US,10 May 2023 (Wednesday),"$6,750,000)",8 May 2023 (Monday),"17,20,24,25,35,42",
https://www.magayo.com/lotto/wisconsin/megabucks-results/,Wisconsin Megabucks,United States,US,10 May 2023 (Wednesday),"$1,000,000)",6 May 2023 (Saturday),"03,18,26,27,36,37",
